id,tweet_text,tweet_date,sentiment,query_used
1050785521201541121,@Laranjito76 A pessoa certa para isso seria o vale e azevedo :),Fri Oct 12 16:29:25 +0000 2018,1,:)
1050785431955140608,"@behin_d_curtain Para mim, é precisamente o contrário :) Vem a chuva e vem a boa disposição :)",Fri Oct 12 16:29:04 +0000 2018,1,:)
1050785401248645120,Vou fazer um video hoje... estou pensando em falar um pouco sobre o novo meta do CSGO e sobre a pagina https://t.co/5RjhKnj0oh Alguem tem uma sugestao? Queria falar sobre algo do cenario nacional :D,Fri Oct 12 16:28:56 +0000 2018,1,:)
1050785370982547461,"aaaaaaaa amei tanto essas polaroids, nem sei expressar o quanto eu to apaixonada de vdd✨💖🎈🎉🎊 espero que outras pessoas consigam ganhar também :) https://t.co/pbIp7tRcSE",Fri Oct 12 16:28:49 +0000 2018,1,:)
1050785368902131713,"Valoriza o coração do menininho que vc tem. Ele é diferente. O faça sorrir e ter certeza disso ❤️ — Eu valorizo todo mundo na minha vida, não vai ser diferente com ele :)) https://t.co/5c7wlXQyz9",Fri Oct 12 16:28:49 +0000 2018,1,:)
1050785368008781825,@KingJokerLeto mas amiga eu to aqui ainda :),Fri Oct 12 16:28:49 +0000 2018,1,:)
1050785350724014080,"@RivasJairo Bravo, Jairo!!! :)))",Fri Oct 12 16:28:44 +0000 2018,1,:)
1050785336551444480,@inquilinasls @Spotify socorro ksoaksosks acho que é porque to usando na caixinha de som :p,Fri Oct 12 16:28:41 +0000 2018,1,:)
1050785297028603905,"@chimekarlla gosto muito de fazenda :) , mas morro de medo de galinha kkkkkkk",Fri Oct 12 16:28:32 +0000 2018,1,:)
1050785215235256320,Amanha vou ver venom :D,Fri Oct 12 16:28:12 +0000 2018,1,:)
1050785194108735490,Porque simplesmente as coisas que me deixam chateada são aquelas coisas que eu quero mesmo muitooo ver e me iludir :) https://t.co/zEiHgH2oJz,Fri Oct 12 16:28:07 +0000 2018,1,:)
1050785191529250816,"A partir de segunda começa uma nova rotina, e assim dá perfeitamente para consolidar com a escola de condução :p",Fri Oct 12 16:28:06 +0000 2018,1,:)
1050785175578251266,Meu amigo parece estar apaixonado por vc — é recíproco! :) https://t.co/FLnOcbarXY,Fri Oct 12 16:28:03 +0000 2018,1,:)
